"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for promoting interoperability of EHRs","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,3,,7,7,0,6,1,,8,8,2,6,0,,11,11,1,9,1,,8,8,,14,11,
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,7,6,0,4,2,,8,7,0,7,0,,11,10,0,9,1,,8,8,,14,14,
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Lauderdale,(256) 768-8400,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,7,0,4,3,,8,7,3,4,0,,11,9,1,7,1,,8,8,,14,11,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,(334) 493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,4,0,3,1,,8,2,0,2,0,,11,6,0,6,0,,8,8,,14,7,
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Crenshaw,(334) 335-3374,Acute Care Hospitals,Proprietary,Yes,,2,,7,3,0,3,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5,14,8,
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,9,0,6,3,,8,8,,14,9,
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,(256) 845-3150,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,5,0,5,0,,8,3,1,2,0,,11,7,0,7,0,,8,8,,14,10,
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,(205) 620-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,0,7,0,,8,7,4,3,0,,11,9,1,7,1,,8,8,,14,10,
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,Jefferson,(205) 325-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5,14,3,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,7,5,0,5,0,,8,7,0,7,0,,11,9,0,9,0,,8,8,,14,12,
