iter	RMSE
0	0.3323526071
1	0.3198884876
2	0.3088032336
3	0.298916377
4	0.289772422
5	0.2819954817
6	0.2749998934
7	0.2679734813
8	0.2616901905
9	0.2561830417
10	0.2510357969
11	0.2466262801
12	0.2427199038
13	0.2391550195
14	0.2358507806
15	0.2326238405
16	0.229694412
17	0.2269726921
18	0.2245912116
19	0.2221340988
20	0.2201547493
21	0.2184926098
22	0.2168432108
23	0.2149862703
24	0.2129648647
25	0.2113528625
26	0.2100972792
27	0.208690364
28	0.2075694533
29	0.2064783948
30	0.2052465729
31	0.2041653025
32	0.203160458
33	0.2022473223
34	0.201310584
35	0.2001071412
36	0.1993390674
37	0.1984217166
38	0.197629408
39	0.196904477
40	0.1960038283
41	0.1953554699
42	0.1945466569
43	0.1939542329
44	0.1933129323
45	0.1928228646
46	0.1918869724
47	0.1913333685
48	0.1906128859
49	0.1901997071
50	0.1896538613
51	0.1891155552
52	0.1886192057
53	0.1881875452
54	0.1874831046
55	0.1868090555
56	0.1863599395
57	0.1859664048
58	0.1855457703
59	0.1851671944
60	0.1848595446
61	0.1843094134
62	0.1839066288
63	0.1835278898
64	0.1831185906
65	0.1825657693
66	0.1820042891
67	0.1816760632
68	0.1813447932
69	0.1809091546
70	0.1805246886
71	0.1802546321
72	0.1799005106
73	0.1795052512
74	0.1791279784
75	0.1787854768
76	0.1785593885
77	0.1781793281
78	0.1778922622
79	0.1774983623
80	0.177207761
81	0.1768207805
82	0.1765055462
83	0.1762939316
84	0.1759403136
85	0.1757347154
86	0.1754585584
87	0.1752693109
88	0.1749958752
89	0.174774578
90	0.1745345128
91	0.1741384138
92	0.1738802168
93	0.1736964019
94	0.1733286267
95	0.173123423
96	0.1729605975
97	0.1726828921
98	0.1724466294
99	0.1721143547
100	0.171902809
101	0.171638635
102	0.1714023114
103	0.1712565405
104	0.1710552462
105	0.1708053597
106	0.1705468357
107	0.170314503
108	0.1700483633
109	0.1697851633
110	0.1696075603
111	0.1694684513
112	0.1692348803
113	0.1689560452
114	0.1687178326
115	0.1685425296
116	0.1682901724
117	0.1679962462
118	0.1678285724
119	0.1675899373
120	0.1673174098
121	0.1670557739
122	0.1669091113
123	0.1667552238
124	0.1666375532
125	0.1663930101
126	0.1661228528
127	0.1659647907
128	0.1657213726
129	0.1655713918
130	0.165375745
131	0.1651333357
132	0.1649805448
133	0.1647758752
134	0.1645841871
135	0.1644780259
136	0.1642899236
137	0.1642056016
138	0.1640934958
139	0.1640001217
140	0.1638731515
141	0.1636950163
142	0.1634962314
143	0.1633710458
144	0.1631692294
145	0.1630481893
146	0.162826318
147	0.1627080893
148	0.162585201
149	0.162407301
150	0.1622677558
151	0.1621601086
