iter	RMSE
0	0.3448290518
1	0.3322318868
2	0.3208507733
3	0.3106469505
4	0.3013245587
5	0.2930729367
6	0.2852292173
7	0.278467
8	0.2717042307
9	0.2661945494
10	0.2609428604
11	0.2563424863
12	0.2522913645
13	0.2484940599
14	0.2450748251
15	0.2418135934
16	0.2388365395
17	0.2362480431
18	0.2337993417
19	0.2316891835
20	0.2296812504
21	0.2279664076
22	0.2261549052
23	0.224515082
24	0.2229609789
25	0.2217372147
26	0.2205494867
27	0.2193300265
28	0.2182046607
29	0.2170899223
30	0.2162667546
31	0.2153897765
32	0.2144582191
33	0.2137031174
34	0.2130631212
35	0.2122040738
36	0.2115621649
37	0.210984202
38	0.210460089
39	0.2099439432
40	0.2093824355
41	0.2089007853
42	0.2084480485
43	0.2079479658
44	0.2074295892
45	0.2069165516
46	0.2064655174
47	0.2058457821
48	0.2052672346
49	0.2049939164
50	0.2046651799
51	0.2041002146
52	0.2036323584
53	0.2033045683
54	0.2029395937
55	0.2024672582
56	0.2021923872
57	0.2019009663
58	0.2015304146
59	0.2011462665
60	0.2007246075
61	0.2004754187
62	0.2002566087
63	0.1999668787
64	0.1996442369
65	0.1993558313
66	0.19911975
67	0.1988815112
68	0.198576022
69	0.1983960515
70	0.1981228538
71	0.1979095378
72	0.1977497615
73	0.1974191775
74	0.1972108545
75	0.1969172066
76	0.1966291547
77	0.1964621475
78	0.1961385107
79	0.1960145006
80	0.1958911674
81	0.1957666256
82	0.195508412
83	0.1951594833
84	0.1948325594
85	0.1945511412
86	0.194393251
87	0.1942350489
88	0.1940161084
89	0.1938693828
90	0.1936958219
91	0.1934827853
92	0.1933286469
93	0.1932158755
94	0.1929799322
95	0.1928818864
96	0.1926931702
97	0.1925101675
98	0.1922652155
99	0.1920571763
100	0.1918903827
101	0.1917574512
102	0.1916337913
103	0.1914002755
104	0.1912682597
105	0.1911848012
106	0.191031947
107	0.1909507863
108	0.1907827983
109	0.1905036154
110	0.1903652044
111	0.1901334514
112	0.1900263839
113	0.1898340579
114	0.1897289324
115	0.1896569015
116	0.1895457977
117	0.1893780384
118	0.189219131
119	0.189087182
120	0.1889711084
121	0.1887536028
122	0.1886082064
123	0.1885242558
124	0.188366854
125	0.1882147504
126	0.1880749211
127	0.187956635
128	0.1878133224
129	0.1877087734
130	0.18764983
131	0.1873769413
132	0.1872665698
133	0.187166517
134	0.1869683664
135	0.1869032686
136	0.1867538749
137	0.1866563586
138	0.1864672399
139	0.1863453796
140	0.1862336093
141	0.1861676885
142	0.1859760427
143	0.1858190687
144	0.1857334271
145	0.1855005997
146	0.1853961175
147	0.1852941781
148	0.1852349013
149	0.1850794769
150	0.1849216026
151	0.1848126514
152	0.1847016987
153	0.1845111373
154	0.1843892507
155	0.1842959454
156	0.1842165831
157	0.1839015995
158	0.1838097598
159	0.183669269
160	0.1836138187
161	0.1834380532
162	0.1833343285
163	0.1830746439
164	0.1828965112
165	0.1828123113
166	0.1827325222
167	0.1826231079
168	0.1823572416
169	0.1822694646
170	0.1821357452
171	0.1820554583
172	0.1817736433
173	0.181656503
174	0.1816074703
175	0.1814916019
176	0.1814228779
177	0.1813088869
178	0.1812447211
179	0.1811369484
180	0.1809056744
181	0.1808135293
182	0.1807179792
183	0.1805746291
184	0.1804021552
185	0.1803433596
186	0.1802165306
187	0.1801232643
188	0.1800236975
189	0.1799274943
190	0.1798654219
191	0.1797860968
192	0.179664106
193	0.179587035
194	0.1794795113
195	0.1793284419
196	0.1791965891
197	0.1790162104
198	0.1789424067
199	0.178816001
200	0.1785624223
201	0.1784289079
202	0.1783491381
203	0.1782791804
204	0.1782279464
205	0.1780958915
206	0.1780298122
207	0.1779104247
208	0.1777981118
209	0.1776986545
210	0.1775139019
211	0.1774456682
212	0.1773783282
213	0.1773242706
214	0.1772446416
215	0.1771188898
216	0.1770465963
217	0.1769583414
218	0.1768565131
219	0.176766024
220	0.1767038105
221	0.1766436273
222	0.1765631511
223	0.1765277997
224	0.1764152937
225	0.1763344098
226	0.1761807723
227	0.1761000757
228	0.1760189128
229	0.1759582416
230	0.1758142835
231	0.1757520939
232	0.1756808748
233	0.1756141082
234	0.1754848396
235	0.1754362155
236	0.1753453603
237	0.1753013078
238	0.1752314004
239	0.1751837376
240	0.1750477835
241	0.1749757833
242	0.1749098755
243	0.1748398557
244	0.1748045033
245	0.1747231552
246	0.1746659086
247	0.1746170421
248	0.1745552145
249	0.1744562177
250	0.1743569939
251	0.1743145886
252	0.174275722
253	0.1741172911
254	0.1740252164
255	0.1739329118
256	0.1739024799
257	0.1738149005
258	0.1736787637
259	0.1735915185
260	0.1735135062
261	0.1734377579
262	0.1733936326
263	0.1733435318
264	0.1732886885
265	0.1732169629
266	0.1731595688
267	0.1731012738
268	0.1730628198
269	0.1729987924
270	0.1729026593
271	0.1728204731
272	0.1727578049
273	0.1726990054
274	0.1726426104
275	0.1725340499
276	0.1724764058
277	0.1724355234
278	0.1723584361
279	0.1722681487
280	0.1721903206
281	0.1721647078
282	0.1720902524
283	0.172030071
284	0.1719618138
285	0.1718876855
286	0.1718130848
287	0.1717582652
288	0.1717071146
289	0.1716451366
290	0.1715663642
291	0.1715214054
292	0.1714090244
293	0.1713657037
294	0.1713237161
295	0.1712819908
296	0.1712047913
297	0.1711722228
298	0.1711350699
299	0.1710643874
300	0.1710336966
301	0.1709755377
302	0.1708967904
303	0.1708382108
304	0.1706984735
305	0.1706428444
306	0.1705910495
307	0.1705376665
308	0.17051685
309	0.1704606313
310	0.1704122401
311	0.1703250774
312	0.1702863761
313	0.170261746
314	0.1702077577
315	0.1701703513
316	0.1701393642
317	0.1700910482
318	0.1699913012
319	0.1699523248
320	0.1698785939
321	0.1698340134
322	0.1697906238
323	0.1697550781
324	0.1696425658
325	0.1695764651
326	0.1694912372
327	0.1694108155
328	0.1693700327
329	0.169306539
330	0.1692306405
331	0.1691632596
332	0.169131048
333	0.1691170643
334	0.1690909234
335	0.1690435653
336	0.1689858605
337	0.1689513653
338	0.1689099693
339	0.1688620678
340	0.1688360929
341	0.1687868085
342	0.1687569288
343	0.1687040951
344	0.1686465945
345	0.168612923
346	0.1685337949
347	0.1685124202
348	0.1684393419
349	0.168385451
350	0.1682838695
351	0.1682485761
352	0.1681908905
353	0.1681427235
354	0.1681102115
355	0.1680677721
356	0.1679896319
357	0.1679359477
358	0.167867573
359	0.1678327568
360	0.1677941866
361	0.1677722647
362	0.1677181023
363	0.1676529713
364	0.167610133
365	0.1675702942
366	0.1675307525
367	0.1674710625
368	0.1674071776
369	0.1673628211
370	0.1673496027
371	0.1673359588
372	0.1672580401
373	0.1671967509
374	0.1671347127
375	0.1670767766
376	0.1670659972
377	0.1670262278
378	0.1669748731
379	0.1669226615
380	0.1668779509
381	0.1668592234
382	0.1668127313
383	0.1667658079
384	0.1667077993
385	0.166667016
386	0.1665925052
387	0.1665475262
388	0.1664865277
389	0.1664370791
390	0.1663960002
391	0.1663527075
392	0.1663354106
393	0.1662740586
394	0.1662398346
395	0.1662125432
396	0.1661801608
397	0.1661131149
398	0.166072971
399	0.1660423761
400	0.1660107028
401	0.1659705004
402	0.1658866711
403	0.1658625825
404	0.1657789804
405	0.1657306648
406	0.1656729518
407	0.1656412302
408	0.1655888051
409	0.1655376381
410	0.165494204
411	0.1654171912
412	0.1653762745
413	0.1653422308
414	0.1652982358
415	0.1652692601
416	0.1652356419
417	0.1652069087
418	0.165177441
419	0.1651474356
420	0.1651422631
421	0.1650978459
422	0.1650520345
423	0.1650084731
424	0.1649830006
425	0.1649556716
426	0.1649050915
427	0.1648769671
428	0.1648359733
429	0.1648181126
430	0.1647751997
431	0.1647176504
432	0.1646867667
433	0.1646466413
434	0.1646163115
435	0.1645895339
436	0.164526071
437	0.1644969455
438	0.1644535221
439	0.1644265178
440	0.1643997706
441	0.1643588983
442	0.1643490043
443	0.1643111892
444	0.1642763571
445	0.1642354153
446	0.1642086439
447	0.1641738953
448	0.1641586761
449	0.1641146839
450	0.1640702629
451	0.1640183623
452	0.1639764932
453	0.1639502844
454	0.1639239586
455	0.1639105298
456	0.1639091028
457	0.163889957
