iter	Passed	Remaining
0	66	66379
1	71	35634
2	76	25417
3	81	20380
4	86	17292
5	91	15225
6	96	13754
7	101	12633
8	106	11721
9	111	11052
10	119	10709
11	123	10188
12	128	9776
13	133	9393
14	138	9075
15	143	8801
16	148	8559
17	152	8333
18	157	8124
19	162	7952
20	166	7771
21	171	7615
22	175	7468
23	180	7333
24	185	7217
25	189	7106
26	194	7008
27	199	6912
28	203	6813
29	208	6738
30	213	6659
31	217	6584
32	222	6509
33	226	6448
34	231	6383
35	236	6320
36	240	6268
37	245	6212
38	250	6161
39	254	6111
40	259	6062
41	263	6015
42	268	5971
43	273	5934
44	277	5888
45	281	5844
46	286	5803
47	290	5767
48	295	5732
49	299	5693
50	304	5662
51	309	5634
52	313	5604
53	318	5574
54	322	5543
55	327	5517
56	331	5488
57	336	5459
58	340	5431
59	344	5404
60	349	5379
61	354	5355
62	358	5333
63	362	5308
64	367	5287
65	372	5267
66	376	5244
67	381	5223
68	385	5204
69	390	5185
70	394	5168
71	399	5147
72	403	5128
73	408	5110
74	412	5092
75	417	5077
76	422	5061
77	426	5044
78	431	5028
79	435	5008
80	439	4992
81	444	4975
82	448	4960
83	453	4945
84	458	4930
85	462	4915
86	466	4900
87	471	4887
88	476	4874
89	480	4859
90	485	4848
91	490	4836
92	494	4821
93	498	4807
94	503	4793
95	507	4780
96	512	4766
97	516	4755
98	521	4742
99	525	4728
100	529	4716
101	534	4704
102	539	4694
103	543	4681
104	548	4671
105	552	4658
106	556	4647
107	561	4636
108	565	4626
109	570	4615
110	574	4602
111	579	4592
112	583	4580
113	587	4569
114	592	4559
115	597	4551
116	601	4541
117	606	4531
118	610	4522
119	615	4513
120	620	4505
121	625	4499
122	630	4495
123	636	4493
124	641	4489
125	646	4485
126	652	4482
127	657	4478
128	663	4481
129	670	4489
130	676	4485
131	682	4487
132	688	4490
133	694	4490
134	699	4485
135	704	4478
136	709	4470
137	714	4462
138	718	4453
139	723	4443
140	728	4437
141	733	4429
142	737	4421
143	742	4413
144	747	4407
145	751	4398
146	756	4389
147	761	4382
148	765	4374
149	770	4366
150	775	4358
151	779	4349
152	784	4343
153	789	4337
154	794	4330
155	799	4327
156	805	4322
157	810	4320
158	816	4316
159	821	4310
160	826	4306
