SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2019,Single Family Residential,21944 Greenbrook Dr,Boyds,MD,20841,692000,4,3.5,GREENRIDGE ACRES,4300,49597,1993,899,161,32,Sold,,,https://www.redfin.com/MD/Boyds/21944-Greenbrook-Dr-20841/home/10497276,BRIGHT MLS,MDMC653244,N,Y,39.21928,-77.2510729
PAST SALE,June-29-2018,Single Family Residential,140 Amberleigh Dr,Silver Spring,MD,20905,530000,4,3.5,NORTH SHERWOOD FOREST,3914,10546,1989,1259,135,18,Sold,,,https://www.redfin.com/MD/Silver-Spring/140-Amberleigh-Dr-20905/home/10599175,BRIGHT MLS,1000223846,N,Y,39.0900642,-77.0044686
PAST SALE,September-28-2021,Single Family Residential,411 Elm Ave,Takoma Park,MD,20912,650000,4,2.0,TAKOMA PARK,1152,10947,1958,72,564,,Sold,,,https://www.redfin.com/MD/Takoma-Park/411-Elm-Ave-20912/home/11147507,BRIGHT MLS,MDMC2011280,N,Y,38.9740611,-77.0020839
PAST SALE,February-15-2018,Single Family Residential,11809 Grey Squirrel St,Clarksburg,MD,20871,649900,4,2.5,CLARKSBURG VILLAGE,4306,5500,2015,1393,151,83,Sold,,,https://www.redfin.com/MD/Clarksburg/11809-Grey-Squirrel-St-20871/home/110057563,BRIGHT MLS,1004410967,N,Y,39.2250278,-77.2494733
PAST SALE,August-18-2017,Single Family Residential,5 Vandever Ct,Brookeville,MD,20833,517400,4,3.0,BROOKVILLE KNOLLS,3000,11506,1974,1574,172,,Sold,,,https://www.redfin.com/MD/Brookeville/5-Vandever-Ct-20833/home/10711102,BRIGHT MLS,1002543657,N,Y,39.1698925,-77.0691506
PAST SALE,June-30-2017,Single Family Residential,20 Southview Ct,Silver Spring,MD,20905,469999,4,2.5,PEACHWOOD,1912,19435,1973,1623,246,,Sold,,,https://www.redfin.com/MD/Silver-Spring/20-Southview-Ct-20905/home/10573481,BRIGHT MLS,1002522751,N,Y,39.100306,-76.999007
PAST SALE,July-10-2019,Single Family Residential,12304 Mccrossin Ln,Potomac,MD,20854,484000,3,2.0,DARNESTOWN OUTSIDE,1240,12196,1942,883,390,,Sold,,,https://www.redfin.com/MD/Rockville/12304-McCrossin-Ln-20854/home/10605752,BRIGHT MLS,MDMC657002,N,Y,39.0721749,-77.2543881
PAST SALE,November-15-2021,Single Family Residential,20323 Swallow Point Rd,Gaithersburg,MD,20886,510000,3,2.5,APPLE RIDGE,2488,3220,1996,24,205,123,Sold,,,https://www.redfin.com/MD/Gaithersburg/20323-Swallow-Point-Rd-20886/home/10865819,BRIGHT MLS,MDMC2016264,N,Y,39.189322,-77.200554
PAST SALE,July-27-2017,Single Family Residential,5019 Westport Rd,Chevy Chase,MD,20815,1250000,4,3.0,WOHLSHIRE,2160,8096,1962,1596,579,,Sold,,,https://www.redfin.com/MD/Chevy-Chase/5019-Westport-Rd-20815/home/10637806,BRIGHT MLS,1002534671,N,Y,38.9588251,-77.0933413
PAST SALE,August-11-2017,Single Family Residential,22630 Shining Harness St,Clarksburg,MD,20871,695000,4,3.5,CLARKSBURG VILLAGE,4748,7302,2014,1581,146,82,Sold,,,https://www.redfin.com/MD/Clarksburg/22630-Shining-Harness-St-20871/home/85694759,BRIGHT MLS,1002544727,N,Y,39.2262741,-77.2405377
