SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-11-2019,Single Family Residential,1710 Windingridge Dr,Henrico,VA,23238,459000,4,3.5,Gayton Forest,4136,16117,1975,786,111,8,Sold,,,https://www.redfin.com/VA/Richmond/1710-Windingridge-Dr-23238/home/59649953,CVRMLS,1929754,N,Y,37.6086472,-77.6028851
PAST SALE,March-13-2020,Single Family Residential,2018 Cambridge Dr,Henrico,VA,23238,335000,4,2.5,The Woodlands,2088,14374,1985,632,160,,Sold,,,https://www.redfin.com/VA/Richmond/2018-Cambridge-Dr-23238/home/59639712,CVRMLS,2003610,N,Y,37.6199964,-77.6299187
PAST SALE,May-21-2020,Single Family Residential,10211 Falconbridge Dr,Richmond,VA,23238,345000,4,2.5,Raintree,1920,13068,1976,563,180,12,Sold,,,https://www.redfin.com/VA/Richmond/10211-Falconbridge-Dr-23238/home/59649617,CVRMLS,2011858,N,Y,37.6160448,-77.5939893
PAST SALE,September-18-2019,Townhouse,2200 Ashcreek Dr,Henrico,VA,23238,185000,3,2.5,Old Coach Square,1380,2613,1979,809,134,127,Sold,,,https://www.redfin.com/VA/Richmond/2200-Ashcreek-Dr-23238/home/59638989,CVRMLS,1925901,N,Y,37.6195958,-77.6499048
PAST SALE,August-19-2020,Single Family Residential,2004 Shady Branch Trl,Henrico,VA,23238,355000,4,2.5,The Woodlands,2568,16988,1985,473,138,,Sold,,,https://www.redfin.com/VA/Richmond/2004-Shady-Branch-Trl-23238/home/59639239,CVRMLS,2014362,N,Y,37.6185161,-77.6336572
PAST SALE,July-28-2020,Single Family Residential,10306 Meadbrook Pl,Richmond,VA,23238,310000,3,2.0,Raintree,2014,11761,1996,495,154,,Sold,,,https://www.redfin.com/VA/Richmond/10306-Meadbrook-Pl-23238/home/59641423,CVRMLS,2020429,N,Y,37.6240621,-77.6018555
PAST SALE,November-22-2019,Single Family Residential,10825 Stanton Way,Henrico,VA,23238,230000,3,2.0,Sussex Wood,1348,5662,1989,744,171,150,Sold,,,https://www.redfin.com/VA/Richmond/10825-Stanton-Way-23238/home/59649148,CVRMLS,1914462,N,Y,37.6149652,-77.6284976
MLS Listing,,Townhouse,11802 N Downs Sq,Henrico,VA,23238,359500,3,3.0,Sussex Square,1907,4356,1982,3,189,360,Active,December-5-2021 02:00 PM,December-5-2021 04:00 PM,https://www.redfin.com/VA/Richmond/11802-N-Downs-Sq-23238/home/59648246,CVRMLS,2135533,N,Y,37.6125497,-77.6270743
MLS Listing,,Single Family Residential,9409 Quioccasin Rd,Henrico,VA,23238,320000,4,2.5,Farmington,2068,11761,1962,4,155,,Active,December-5-2021 11:00 AM,December-5-2021 03:00 PM,https://www.redfin.com/VA/Richmond/9409-Quioccasin-Rd-23238/home/59657885,CVRMLS,2135177,N,Y,37.6070877,-77.5828132
MLS Listing,,Single Family Residential,2105 Raintree Dr,Henrico,VA,23238,475000,4,2.5,Raintree,3048,13939,1979,4,156,13,Active,,,https://www.redfin.com/VA/Richmond/2105-Raintree-Dr-23238/home/59641380,CVRMLS,2135335,N,Y,37.622744,-77.600244
