ProjectGroupID,AltProjectID,ProjectID,ElementName,Division,MetroAreaID,Latitude,Longitude,Address,city,State,state_fips,ZipCode,County,MetroAreaTitle,CountyName,county_fips,cbsa_code,cbsa_name,msa_name,ProductID,ProductDescription,Active,MinSquareFootage,MaxSquareFootage,MinBaseSalesPrice,MaxBaseSalesPrice,ProductTypeID,NumberBedrooms,NumberFullBaths,NumberHalfBaths,NumberGarageSpaces
MST,721,Main Street Townes at Lilburn TH,Main Street Townes at Lilburn TH (721),Atlanta,1007,33.891702,-84.140783,346 Main St NW,Lilburn,GA,13,30047,29,Atlanta,Gwinnett,135,12060,Atlanta-Sandy Springs-Alpharetta GA,Atlanta GA MSA,001562,Dupree,Y,2113,2191,385900.00,393500.00,NULL,NULL,NULL,NULL,NULL
LD,LD,West Broad Landing 2o2,West Broad Landing 2o2 (LD),Richmond,1006,37.6162,-77.5210,"2636 Lassen Walk, Unit A",Henrico,VA,51,23294,20,Richmond,Henrico,87,40060,Richmond VA,Richmond-Petersburg VA MSA,279,Paxton,Y,2452,2855,354990.00,355790.00,1,3,2,1,1
SCK,SCK3,Sage Creek SFD,Sage Creek SFD (SCK3),Aiken/Augusta,1013,33.593076,-81.824541,1182 Sapphire Drive,Graniteville,SC,45,29829,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001420,Barlow,Y,2273,2306,236900.00,244900.00,4,3,2,1,2
VST,VST3,Vancouver Station at Trolley Run SFD,Vancouver Station at Trolley Run SFD (VST3),Aiken/Augusta,1013,33.582816,-81.77637,507 Burnaby Court,Aiken,SC,45,29801,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001423,Santee,Y,1295,1593,210900.00,213900.00,4,3,2,0,2
VST,VST3,Vancouver Station at Trolley Run SFD,Vancouver Station at Trolley Run SFD (VST3),Aiken/Augusta,1013,33.582816,-81.77637,507 Burnaby Court,Aiken,SC,45,29801,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001421,Summerton,Y,2386,2386,244900.00,250900.00,4,3,2,1,0
SUM,663,Sumner Village SFD,Sumner Village SFD (663),Charleston,1008,32.8984,-79.9979,1414 Sumner Avenue,North Charleston,SC,45,29406,31,Charleston,Charleston,19,16700,Charleston-North Charleston SC,Charleston-North Charleston SC MSA,u14,Buist SLAB,Y,1678,1700,284900.00,294900.00,NULL,NULL,NULL,NULL,NULL
WDB,WDB,Woodborne Preserve,Woodborne Preserve (WDB),Northern Virginia,1000,38.7972531,-77.6523484,James Madison Highway and Thoroughfare Road,Gainesville,VA,51,20155,9,Northern Virginia,Prince William,153,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,A35,Kasey BSMT,Y,3342,6648,877490.00,892490.00,4,4,3,1,2
CRD,CSP3,Clairbourne Springs SFD,Clairbourne Springs SFD (CSP3),Aiken/Augusta,1013,33.5237447,-81.8765853,6078 Whirlaway Road,Graniteville,SC,45,29829,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001421,Summerton,Y,2386,2386,243900.00,249900.00,4,3,2,1,2
SOD,SOD3,Summer Orchard SFD,Summer Orchard SFD (SOD3),Columbia,1010,33.917912,-81.328175,Summer Orchard Drive,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001421,Summerton,Y,2386,2386,239900.00,243900.00,NULL,NULL,NULL,NULL,NULL
EY,EYM3,Embrey Mill 2 SFD,Embrey Mill 2 SFD (EYM3),Northern Virginia,1000,38.4305,-77.4289,510 Sourwood Court,Stafford,VA,51,22554,11,Northern Virginia,Stafford,179,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,785,Middleton,Y,3301,5757,637990.00,643990.00,4,4,2,1,2
