ZipCode,Latitude,Longitude,State,StateFullName,City,CityAliasName,CountyMixedCase
20001,38.910717,-77.01666,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20002,38.908089,-76.976663,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20003,38.877752,-76.986546,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20004,38.892444,-77.020588,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20005,38.904224,-77.031798,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20006,38.895101,-77.039776,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20007,38.914063,-77.077395,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20008,38.935771,-77.059213,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20009,38.920392,-77.038564,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20010,38.932965,-77.030066,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20011,38.950224,-77.019714,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20012,38.97827,-77.02853,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20013,38.9008,-77.0104,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20015,38.96829,-77.064974,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20016,38.93684,-77.093123,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20017,38.937006,-76.993674,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20018,38.930038,-76.969962,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20019,38.892782,-76.94051,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20020,38.862289,-76.97296,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20022,38.901,-77.01,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20024,38.870368,-77.036701,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20026,38.9069,-77.0284,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20027,38.9069,-77.0284,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20029,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20030,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20032,38.830147,-77.009214,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20033,38.9188,-77.0175,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20035,38.9009,-77.0075,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20036,38.906861,-77.041385,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20037,38.898708,-77.053967,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20038,38.9191,-77.0181,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20039,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20040,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20041,38.932332,-77.443741,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20042,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20043,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20044,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20045,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20047,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20049,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20050,38.8713,-77.0555,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20052,38.8993,-77.0497,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20053,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20055,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20056,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20057,38.909122,-77.075356,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20058,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20059,38.923584,-77.02055,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20060,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20061,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20062,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20063,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20064,38.93606,-76.998845,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20065,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20066,38.8989,-77.0107,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20067,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20068,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20069,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20070,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20071,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20073,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20074,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20075,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20076,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20077,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20078,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20080,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20081,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20082,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20090,38.9009,-77.0075,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20091,38.895,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20101,39.3355,-77.8426,VA,Virginia,DULLES,DULLES,Loudoun
20102,38.954867,-77.450515,VA,Virginia,DULLES,DULLES,Loudoun
20103,39.3214,-77.5365,VA,Virginia,DULLES,DULLES,Loudoun
20104,39.3214,-77.5365,VA,Virginia,DULLES,DULLES,Loudoun
20105,38.960832,-77.60435,VA,Virginia,ALDIE,ALDIE,Loudoun
20106,38.694356,-77.999264,VA,Virginia,AMISSVILLE,AMISSVILLE,Culpeper
20108,38.7657,-77.4852,VA,Virginia,MANASSAS,MANASSAS,Manassas City
20109,38.793688,-77.53645,VA,Virginia,MANASSAS,MANASSAS,Prince William
20110,38.746216,-77.489106,VA,Virginia,MANASSAS,MANASSAS,Manassas City
20111,38.753198,-77.429954,VA,Virginia,MANASSAS,MANASSAS,Prince William
20112,38.66484,-77.4339,VA,Virginia,MANASSAS,MANASSAS,Prince William
20113,38.7325,-77.446,VA,Virginia,MANASSAS,MANASSAS,Manassas Park City
20115,38.837836,-77.898614,VA,Virginia,MARSHALL,MARSHALL,Fauquier
20116,38.7975,-77.9024,VA,Virginia,MARSHALL,MARSHALL,Fauquier
20117,38.995029,-77.736967,VA,Virginia,MIDDLEBURG,MIDDLEBURG,Loudoun
20118,38.949009,-77.758704,VA,Virginia,MIDDLEBURG,MIDDLEBURG,Loudoun
20119,38.626106,-77.625141,VA,Virginia,CATLETT,CATLETT,Fauquier
20120,38.85981,-77.466616,VA,Virginia,CENTREVILLE,CENTREVILLE,Fairfax
20121,38.815894,-77.460849,VA,Virginia,CENTREVILLE,CENTREVILLE,Fairfax
20122,38.8397,-77.4278,VA,Virginia,CENTREVILLE,CENTREVILLE,Fairfax
20124,38.775973,-77.388066,VA,Virginia,CLIFTON,CLIFTON,Fairfax
20128,38.7508,-77.9626,VA,Virginia,ORLEAN,ORLEAN,Fauquier
20129,39.163444,-77.601207,VA,Virginia,PAEONIAN SPRINGS,PAEONIAN SPRINGS,Loudoun
20130,39.030554,-77.936754,VA,Virginia,PARIS,PARIS,Clarke
20131,39.0563,-77.7409,VA,Virginia,PHILOMONT,PHILOMONT,Loudoun
20132,39.173958,-77.73253,VA,Virginia,PURCELLVILLE,PURCELLVILLE,Loudoun
20134,39.1337,-77.7065,VA,Virginia,PURCELLVILLE,PURCELLVILLE,Loudoun
20135,39.090631,-77.888766,VA,Virginia,BLUEMONT,BLUEMONT,Clarke
20136,38.736614,-77.546642,VA,Virginia,BRISTOW,BRISTOW,Prince William
20137,38.808712,-77.725592,VA,Virginia,BROAD RUN,BROAD RUN,Fauquier
20138,38.627641,-77.666572,VA,Virginia,CALVERTON,CALVERTON,Fauquier
20139,38.644798,-77.69716,VA,Virginia,CASANOVA,CASANOVA,Fauquier
20140,38.926598,-77.867263,VA,Virginia,RECTORTOWN,RECTORTOWN,Fauquier
20141,39.10795,-77.784622,VA,Virginia,ROUND HILL,ROUND HILL,Loudoun
20142,39.1382,-77.7728,VA,Virginia,ROUND HILL,ROUND HILL,Loudoun
20143,38.848754,-77.566119,VA,Virginia,CATHARPIN,CATHARPIN,Prince William
20144,38.929195,-77.938679,VA,Virginia,DELAPLANE,DELAPLANE,Fauquier
20146,39.0438,-77.4879,VA,Virginia,ASHBURN,ASHBURN,Loudoun
20147,39.039572,-77.481613,VA,Virginia,ASHBURN,ASHBURN,Loudoun
20148,39.001489,-77.515588,VA,Virginia,ASHBURN,ASHBURN,Loudoun
20149,39.0438,-77.4879,VA,Virginia,ASHBURN,ASHBURN,Loudoun
20151,38.886153,-77.450992,VA,Virginia,CHANTILLY,CHANTILLY,Fairfax
20152,38.892217,-77.509827,VA,Virginia,CHANTILLY,CHANTILLY,Loudoun
20153,38.8188,-77.292,VA,Virginia,CHANTILLY,CHANTILLY,Fairfax
20155,38.813292,-77.633941,VA,Virginia,GAINESVILLE,GAINESVILLE,Prince William
20156,38.8283,-77.6248,VA,Virginia,GAINESVILLE,GAINESVILLE,Prince William
20158,39.139526,-77.654863,VA,Virginia,HAMILTON,HAMILTON,Loudoun
20159,39.1344,-77.6697,VA,Virginia,HAMILTON,HAMILTON,Loudoun
20160,39.1153,-77.6916,VA,Virginia,LINCOLN,LINCOLN,Loudoun
20163,39.006,-77.429,VA,Virginia,STERLING,STERLING,Loudoun
20164,39.014127,-77.399912,VA,Virginia,STERLING,STERLING,Loudoun
20165,39.047357,-77.386479,VA,Virginia,STERLING,STERLING,Loudoun
20166,38.982834,-77.471524,VA,Virginia,STERLING,STERLING,Loudoun
20167,39.0062,-77.4288,VA,Virginia,STERLING,STERLING,Loudoun
20168,38.8726,-77.6484,VA,Virginia,HAYMARKET,HAYMARKET,Prince William
20169,38.869358,-77.639786,VA,Virginia,HAYMARKET,HAYMARKET,Prince William
20170,38.983721,-77.382758,VA,Virginia,HERNDON,HERNDON,Fairfax
20171,38.926604,-77.391188,VA,Virginia,HERNDON,HERNDON,Fairfax
20172,38.9209,-77.3953,VA,Virginia,HERNDON,HERNDON,Fairfax
20175,39.052271,-77.603577,VA,Virginia,LEESBURG,LEESBURG,Loudoun
20176,39.160038,-77.521852,VA,Virginia,LEESBURG,LEESBURG,Loudoun
20177,39.1169,-77.5564,VA,Virginia,LEESBURG,LEESBURG,Loudoun
20178,39.1169,-77.5564,VA,Virginia,LEESBURG,LEESBURG,Loudoun
20180,39.268742,-77.629255,VA,Virginia,LOVETTSVILLE,LOVETTSVILLE,Loudoun
20181,38.690627,-77.573274,VA,Virginia,NOKESVILLE,NOKESVILLE,Prince William
20182,38.6872,-77.5498,VA,Virginia,NOKESVILLE,NOKESVILLE,Prince William
20184,39.009648,-77.871797,VA,Virginia,UPPERVILLE,UPPERVILLE,Fauquier
20185,38.8788,-77.8397,VA,Virginia,UPPERVILLE,UPPERVILLE,Fauquier
20186,38.705946,-77.849508,VA,Virginia,WARRENTON,WARRENTON,Fauquier
20187,38.722686,-77.741378,VA,Virginia,WARRENTON,WARRENTON,Fauquier
20188,38.7217,-77.7849,VA,Virginia,WARRENTON,WARRENTON,Fauquier
20189,38.9,-77.04,VA,Virginia,DULLES,DULLES,Loudoun
20190,38.960974,-77.342467,VA,Virginia,RESTON,RESTON,Fairfax
20191,38.93112,-77.351394,VA,Virginia,RESTON,RESTON,Fairfax
20192,38.946815,-77.364954,VA,Virginia,HERNDON,HERNDON,Fairfax
20194,38.982667,-77.341454,VA,Virginia,RESTON,RESTON,Fairfax
20195,38.9768,-77.3485,VA,Virginia,RESTON,RESTON,Fairfax
20196,38.9628,-77.3372,VA,Virginia,RESTON,RESTON,Fairfax
20197,39.192409,-77.6253,VA,Virginia,WATERFORD,WATERFORD,Loudoun
20198,38.87818,-77.7499,VA,Virginia,THE PLAINS,THE PLAINS,Fauquier
20201,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20202,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20203,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20204,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20206,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20207,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20208,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20210,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20211,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20212,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20213,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20214,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20215,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20216,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20217,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20218,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20219,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20220,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20221,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20222,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20223,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20224,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20226,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20227,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20228,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20229,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20230,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20232,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20233,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20235,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20237,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20238,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20239,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20240,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20241,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20242,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20244,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20245,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20250,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20251,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20252,38.886669,-77.029444,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20254,38.8926,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20260,38.8928,-77.0293,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20261,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20262,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20265,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20266,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20268,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20270,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20277,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20289,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20299,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20301,38.8711,-77.0279,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20303,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20306,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20310,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20314,38.8926,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20317,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20318,38.8926,-77.0367,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20319,38.866137,-77.01666,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20330,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20340,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20350,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20355,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20370,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20372,38.8833,-77.0468,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20373,38.8951,-77.0369,DC,District of Columbia,NAVAL ANACOST ANNEX,NAVAL ANACOST ANNEX,District Of Columbia
20374,38.8951,-77.0369,DC,District of Columbia,WASHINGTON NAVY YARD,WASHINGTON NAVY YARD,District Of Columbia
20375,38.824713,-77.022348,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20376,38.8951,-77.0369,DC,District of Columbia,WASHINGTON NAVY YARD,WASHINGTON NAVY YARD,District Of Columbia
20380,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20388,38.8951,-77.0369,DC,District of Columbia,WASHINGTON NAVY YARD,WASHINGTON NAVY YARD,District Of Columbia
20389,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20390,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20391,38.8951,-77.0369,DC,District of Columbia,WASHINGTON NAVY YARD,WASHINGTON NAVY YARD,District Of Columbia
20392,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20393,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20394,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20395,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20398,38.8951,-77.0369,DC,District of Columbia,WASHINGTON NAVY YARD,WASHINGTON NAVY YARD,District Of Columbia
20401,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20402,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20403,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20404,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20405,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20406,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20407,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20408,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20410,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20411,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20412,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20413,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20414,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20415,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20416,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20417,38.906842,-77.005815,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20418,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20419,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20420,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20421,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20422,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20423,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20424,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20425,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20426,38.9085,-77.0187,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20427,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20428,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20429,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20431,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
20433,38.8951,-77.0369,DC,District of Columbia,WASHINGTON,WASHINGTON,District Of Columbia
